product_id,player_name,platform,player_unique_id,profile_unique_id,linked_steam_id,names_count,claimed_pid_count,non_steam_pid_count,ip_hash_count,proxy_hashes,vpn_hashes,hosting_hashes,inconsistency_count,inconsistencies
00022a9d73ca4a5a8e7de96a29631358,Eztli Ulphilas,PCVR,76561198875422047,76561198875422047,,1,1,0,3,0,0,0,0,
00022aeb0d50485d8d0b76c91733fac8,Maniac,PCVR,76561198853167158,76561198853167158,,3,1,0,7,0,0,0,1,player/profile current_name mismatch
00022bf4c5a7497a85ab968289d31a06,PIXEL,PCVR,76561199069037454,76561199069037454,,5,1,0,16,0,0,0,1,high IP-hash count: 16
000230a4914048e08ad4c33d6f66ecfa,Towelie,PCVR,76561199148452692,76561199148452692,,47,1,0,45,0,0,2,4,"player/profile current_name mismatch; high alias count in logs: 19 names; high IP-hash count: 45; network risk observations: proxy=0, vpn=0, hosting=2"
0002326a7acd4fcaba7cf57849f96afe,BeaBea,PCVR,76561198256002538,76561198256002538,,7,1,0,49,0,0,0,1,high IP-hash count: 49
0002358cf9c741b0b5e600d36ac5fa2e,Mr. Lemon,PCVR,76561198374476385,76561198374476385,,2,1,0,4,0,0,0,1,player/profile current_name mismatch
00023665f880432e89e93968530c4aa2,Lap,PCVR,76561198212149249,76561198212149249,,1,1,0,9,0,0,0,0,
0002398117264e6c93f333228c120f2b,|DG| V|LOT,PCVR,76561198014535548,76561198014535548,,2,1,0,8,3,0,0,2,"player/profile current_name mismatch; network risk observations: proxy=3, vpn=0, hosting=0"
00023a91c1b8407c92d50a4721dd7e84,koolguy25,PCVR,76561198154772713,76561198154772713,,1,1,0,4,1,0,1,1,"network risk observations: proxy=1, vpn=0, hosting=1"
00023ab6d24e44a3a2c1b4d75ad56dbb,Xenthicality,PCVR,76561198263393616,76561198263393616,,1,1,0,5,0,0,0,0,
00023c1fdf6f4098b50cfda615fd0bdc,Salsa,PCVR,76561198024543641,76561198137883300,,1,1,0,6,0,0,0,1,player/profile unique_id mismatch
